省份/直辖市,城市名称,城市类型,,,,,,,,,,
广西,岑溪市,县级市,,,,,,,,,,
广西,东兴市,县级市,,,,,,,,,,
广西,桂平市,县级市,,,,,,,,,,
广西,北流市,县级市,,,,,,,,,,
广西,凭祥市,县级市,,,,,,,,,,
广西,合山市,县级市,,,,,,,,,,
广西,贺州市,地级及以上城市,,,,,,,,,,
广西,百色市,地级及以上城市,,,,,,,,,,
广西,河池市,地级及以上城市,,,,,,,,,,
广西,横州市,县级市,,,,,,,,,,
广西,荔浦市,县级市,,,,,,,,,,
广西,靖西市,县级市,,,,,,,,,,
广西,平果市,县级市,,,,,,,,,,
贵州省,贵阳市,地级及以上城市,,,,,,,,,,
贵州省,六盘水市,地级及以上城市,,,,,,,,,,
贵州省,遵义市,地级及以上城市,,,,,,,,,,
贵州省,黔西南布依族苗族自治州,地级及以上城市,,,,,,,,,,
贵州省,黔东南苗族侗族自治州,地级及以上城市,,,,,,,,,,
贵州省,黔南布依族苗族自治州,地级及以上城市,,,,,,,,,,
贵州省,兴仁市,县级市,,,,,,,,,,
贵州省,盘州市,县级市,,,,,,,,,,
贵州省,清镇市,县级市,,,,,,,,,,
贵州省,赤水市,县级市,,,,,,,,,,
贵州省,仁怀市,县级市,,,,,,,,,,
贵州省,铜仁市,地级及以上城市,,,,,,,,,,
贵州省,兴义市,县级市,,,,,,,,,,
贵州省,毕节市,地级及以上城市,,,,,,,,,,
贵州省,安顺市,地级及以上城市,,,,,,,,,,
贵州省,凯里市,县级市,,,,,,,,,,
贵州省,都匀市,县级市,,,,,,,,,,
贵州省,福泉市,县级市,,,,,,,,,,
贵州省,黔西市,县级市,,,,,,,,,,
海南省,海口市,地级及以上城市,,,,,,,,,,
海南省,三亚市,地级及以上城市,,,,,,,,,,
海南省,三沙市,地级及以上城市,,,,,,,,,,
海南省,琼海市,县级市,,,,,,,,,,
海南省,儋州市,地级及以上城市,,,,,,,,,,
海南省,五指山市,县级市,,,,,,,,,,
海南省,文昌市,县级市,,,,,,,,,,
海南省,万宁市,县级市,,,,,,,,,,
海南省,东方市,县级市,,,,,,,,,,
河北省,石家庄市,地级及以上城市,,,,,,,,,,
河北省,唐山市,地级及以上城市,,,,,,,,,,
河北省,秦皇岛市,地级及以上城市,,,,,,,,,,
河北省,邯郸市,地级及以上城市,,,,,,,,,,
河北省,邢台市,地级及以上城市,,,,,,,,,,
河北省,保定市,地级及以上城市,,,,,,,,,,
河北省,张家口市,地级及以上城市,,,,,,,,,,
河北省,承德市,地级及以上城市,,,,,,,,,,
河北省,沧州市,地级及以上城市,,,,,,,,,,
河北省,廊坊市,地级及以上城市,,,,,,,,,,
河北省,衡水市,地级及以上城市,,,,,,,,,,
河北省,辛集市,县级市,,,,,,,,,,
河北省,晋州市,县级市,,,,,,,,,,
河北省,新乐市,县级市,,,,,,,,,,
河北省,遵化市,县级市,,,,,,,,,,
河北省,滦州市,县级市,,,,,,,,,,
河北省,迁安市,县级市,,,,,,,,,,
河北省,武安市,县级市,,,,,,,,,,
河北省,南宫市,县级市,,,,,,,,,,
河北省,沙河市,县级市,,,,,,,,,,
河北省,涿州市,县级市,,,,,,,,,,
河北省,定州市,县级市,,,,,,,,,,
河北省,安国市,县级市,,,,,,,,,,
河北省,高碑店市,县级市,,,,,,,,,,
河北省,泊头市,县级市,,,,,,,,,,
河北省,任丘市,县级市,,,,,,,,,,
河北省,黄骅市,县级市,,,,,,,,,,
河北省,河间市,县级市,,,,,,,,,,
河北省,霸州市,县级市,,,,,,,,,,
河北省,三河市,县级市,,,,,,,,,,
河北省,平泉市,县级市,,,,,,,,,,
河北省,深州市,县级市,,,,,,,,,,
河南省,郑州市,地级及以上城市,,,,,,,,,,
河南省,开封市,地级及以上城市,,,,,,,,,,
河南省,洛阳市,地级及以上城市,,,,,,,,,,
河南省,平顶山市,地级及以上城市,,,,,,,,,,
河南省,安阳市,地级及以上城市,,,,,,,,,,
河南省,鹤壁市,地级及以上城市,,,,,,,,,,
河南省,新乡市,地级及以上城市,,,,,,,,,,
河南省,焦作市,地级及以上城市,,,,,,,,,,
河南省,濮阳市,地级及以上城市,,,,,,,,,,
河南省,许昌市,地级及以上城市,,,,,,,,,,
河南省,漯河市,地级及以上城市,,,,,,,,,,
河南省,三门峡市,地级及以上城市,,,,,,,,,,
河南省,南阳市,地级及以上城市,,,,,,,,,,
河南省,商丘市,地级及以上城市,,,,,,,,,,
河南省,信阳市,地级及以上城市,,,,,,,,,,
河南省,巩义市,县级市,,,,,,,,,,
河南省,荥阳市,县级市,,,,,,,,,,
河南省,新密市,县级市,,,,,,,,,,
河南省,新郑市,县级市,,,,,,,,,,
河南省,登封市,县级市,,,,,,,,,,
河南省,长垣市,县级市,,,,,,,,,,
河南省,舞钢市,县级市,,,,,,,,,,
河南省,汝州市,县级市,,,,,,,,,,
河南省,林州市,县级市,,,,,,,,,,
河南省,卫辉市,县级市,,,,,,,,,,
河南省,辉县市,县级市,,,,,,,,,,
河南省,济源市,县级市,,,,,,,,,,
河南省,沁阳市,县级市,,,,,,,,,,
河南省,孟州市,县级市,,,,,,,,,,
河南省,禹州市,县级市,,,,,,,,,,
河南省,长葛市,县级市,,,,,,,,,,
河南省,义马市,县级市,,,,,,,,,,
河南省,灵宝市,县级市,,,,,,,,,,
河南省,邓州市,县级市,,,,,,,,,,
河南省,永城市,县级市,,,,,,,,,,
河南省,周口市,地级及以上城市,,,,,,,,,,
河南省,项城市,县级市,,,,,,,,,,
河南省,驻马店市,地级及以上城市,,,,,,,,,,
黑龙江省,哈尔滨市,地级及以上城市,,,,,,,,,,
黑龙江省,齐齐哈尔市,地级及以上城市,,,,,,,,,,
黑龙江省,鸡西市,地级及以上城市,,,,,,,,,,
黑龙江省,鹤岗市,地级及以上城市,,,,,,,,,,
黑龙江省,双鸭山市,地级及以上城市,,,,,,,,,,
黑龙江省,大庆市,地级及以上城市,,,,,,,,,,
黑龙江省,伊春市,地级及以上城市,,,,,,,,,,
黑龙江省,佳木斯市,地级及以上城市,,,,,,,,,,
黑龙江省,七台河市,地级及以上城市,,,,,,,,,,
黑龙江省,牡丹江市,地级及以上城市,,,,,,,,,,
黑龙江省,黑河市,地级及以上城市,,,,,,,,,,
黑龙江省,大兴安岭地区,地级及以上城市,,,,,,,,,,
黑龙江省,阿城市,县级市,,,,,,,,,,
黑龙江省,双城市,县级市,,,,,,,,,,
黑龙江省,尚志市,县级市,,,,,,,,,,
黑龙江省,五常市,县级市,,,,,,,,,,
黑龙江省,讷河市,县级市,,,,,,,,,,
黑龙江省,虎林市,县级市,,,,,,,,,,
黑龙江省,密山市,县级市,,,,,,,,,,
黑龙江省,铁力市,县级市,,,,,,,,,,
黑龙江省,同江市,县级市,,,,,,,,,,
黑龙江省,抚远市,县级市,,,,,,,,,,
黑龙江省,富锦市,县级市,,,,,,,,,,
黑龙江省,绥芬河市,县级市,,,,,,,,,,
黑龙江省,海林市,县级市,,,,,,,,,,
黑龙江省,宁安市,县级市,,,,,,,,,,
黑龙江省,东宁市,县级市,,,,,,,,,,
黑龙江省,穆棱市,县级市,,,,,,,,,,
黑龙江省,北安市,县级市,,,,,,,,,,
黑龙江省,五大连池市,县级市,,,,,,,,,,
黑龙江省,绥化市,地级及以上城市,,,,,,,,,,
黑龙江省,安达市,县级市,,,,,,,,,,
黑龙江省,肇东市,县级市,,,,,,,,,,
黑龙江省,海伦市,县级市,,,,,,,,,,
湖北省,武汉市,地级及以上城市,,,,,,,,,,
湖北省,黄石市,地级及以上城市,,,,,,,,,,
湖北省,十堰市,地级及以上城市,,,,,,,,,,
湖北省,宜昌市,地级及以上城市,,,,,,,,,,
湖北省,襄阳市,地级及以上城市,,,,,,,,,,
湖北省,鄂州市,地级及以上城市,,,,,,,,,,
湖北省,荆门市,地级及以上城市,,,,,,,,,,
湖北省,孝感市,地级及以上城市,,,,,,,,,,
湖北省,荆州市,地级及以上城市,,,,,,,,,,
湖北省,黄冈市,地级及以上城市,,,,,,,,,,
湖北省,咸宁市,地级及以上城市,,,,,,,,,,
湖北省,恩施土家族苗族自治州,地级及以上城市,,,,,,,,,,
湖北省,大冶市,县级市,,,,,,,,,,
湖北省,丹江口市,县级市,,,,,,,,,,
湖北省,宜都市,县级市,,,,,,,,,,
湖北省,当阳市,县级市,,,,,,,,,,
湖北省,枝江市,县级市,,,,,,,,,,
湖北省,老河口市,县级市,,,,,,,,,,
湖北省,枣阳市,县级市,,,,,,,,,,
湖北省,宜城市,县级市,,,,,,,,,,
湖北省,钟祥市,县级市,,,,,,,,,,
湖北省,京山市,县级市,,,,,,,,,,
湖北省,监利市,县级市,,,,,,,,,,
湖北省,应城市,县级市,,,,,,,,,,
湖北省,安陆市,县级市,,,,,,,,,,
湖北省,广水市,县级市,,,,,,,,,,
湖北省,汉川市,县级市,,,,,,,,,,
湖北省,石首市,县级市,,,,,,,,,,
湖北省,洪湖市,县级市,,,,,,,,,,
湖北省,松滋市,县级市,,,,,,,,,,
湖北省,麻城市,县级市,,,,,,,,,,
湖北省,武穴市,县级市,,,,,,,,,,
湖北省,赤壁市,县级市,,,,,,,,,,
湖北省,恩施市,县级市,,,,,,,,,,
湖北省,利川市,县级市,,,,,,,,,,
湖北省,随州市,地级及以上城市,,,,,,,,,,
湖北省,仙桃市,县级市,,,,,,,,,,
湖北省,潜江市,县级市,,,,,,,,,,
湖北省,天门市,县级市,,,,,,,,,,
湖南省,长沙市,地级及以上城市,,,,,,,,,,
湖南省,株洲市,地级及以上城市,,,,,,,,,,
湖南省,湘潭市,地级及以上城市,,,,,,,,,,
湖南省,衡阳市,地级及以上城市,,,,,,,,,,
湖南省,邵阳市,地级及以上城市,,,,,,,,,,
湖南省,岳阳市,地级及以上城市,,,,,,,,,,
湖南省,常德市,地级及以上城市,,,,,,,,,,
湖南省,张家界市,地级及以上城市,,,,,,,,,,
湖南省,益阳市,地级及以上城市,,,,,,,,,,
湖南省,郴州市,地级及以上城市,,,,,,,,,,
湖南省,永州市,地级及以上城市,,,,,,,,,,
湖南省,怀化市,地级及以上城市,,,,,,,,,,
湖南省,娄底市,地级及以上城市,,,,,,,,,,
湖南省,湘西土家族苗族自治州,地级及以上城市,,,,,,,,,,
湖南省,浏阳市,县级市,,,,,,,,,,
湖南省,宁乡市,县级市,,,,,,,,,,
湖南省,醴陵市,县级市,,,,,,,,,,
湖南省,湘乡市,县级市,,,,,,,,,,
湖南省,韶山市,县级市,,,,,,,,,,
湖南省,耒阳市,县级市,,,,,,,,,,
湖南省,常宁市,县级市,,,,,,,,,,
湖南省,武冈市,县级市,,,,,,,,,,
湖南省,邵东市,县级市,,,,,,,,,,
湖南省,汩罗市,县级市,,,,,,,,,,
湖南省,临湘市,县级市,,,,,,,,,,
湖南省,津市市,县级市,,,,,,,,,,
湖南省,沅江市,县级市,,,,,,,,,,
湖南省,祁阳市,县级市,,,,,,,,,,
湖南省,资兴市,县级市,,,,,,,,,,
湖南省,洪江市,县级市,,,,,,,,,,
湖南省,冷水江市,县级市,,,,,,,,,,
湖南省,涟源市,县级市,,,,,,,,,,
湖南省,吉首市,县级市,,,,,,,,,,
吉林省,长春市,地级及以上城市,,,,,,,,,,
吉林省,吉林市,地级及以上城市,,,,,,,,,,
吉林省,四平市,地级及以上城市,,,,,,,,,,
吉林省,辽源市,地级及以上城市,,,,,,,,,,
吉林省,通化市,地级及以上城市,,,,,,,,,,
吉林省,白山市,地级及以上城市,,,,,,,,,,
吉林省,松原市,地级及以上城市,,,,,,,,,,
吉林省,白城市,地级及以上城市,,,,,,,,,,
吉林省,延边朝鲜族自治州,地级及以上城市,,,,,,,,,,
吉林省,扶余市,县级市,,,,,,,,,,
吉林省,榆树市,县级市,,,,,,,,,,
吉林省,德惠市,县级市,,,,,,,,,,
吉林省,蛟河市,县级市,,,,,,,,,,
吉林省,桦甸市,县级市,,,,,,,,,,
吉林省,舒兰市,县级市,,,,,,,,,,
吉林省,磐石市,县级市,,,,,,,,,,
吉林省,公主岭市,县级市,,,,,,,,,,
吉林省,双辽市,县级市,,,,,,,,,,
吉林省,梅河口市,县级市,,,,,,,,,,
吉林省,集安市,县级市,,,,,,,,,,
吉林省,临江市,县级市,,,,,,,,,,
吉林省,洮南市,县级市,,,,,,,,,,
吉林省,大安市,县级市,,,,,,,,,,
吉林省,延吉市,县级市,,,,,,,,,,
吉林省,图们市,县级市,,,,,,,,,,
吉林省,敦化市,县级市,,,,,,,,,,
吉林省,珲春市,县级市,,,,,,,,,,
吉林省,龙井市,县级市,,,,,,,,,,
吉林省,和龙市,县级市,,,,,,,,,,
江苏省,南京市,地级及以上城市,,,,,,,,,,
江苏省,无锡市,地级及以上城市,,,,,,,,,,
江苏省,徐州市,地级及以上城市,,,,,,,,,,
江苏省,常州市,地级及以上城市,,,,,,,,,,
江苏省,苏州市,地级及以上城市,,,,,,,,,,
江苏省,南通市,地级及以上城市,,,,,,,,,,
江苏省,连云港市,地级及以上城市,,,,,,,,,,
江苏省,淮安市,地级及以上城市,,,,,,,,,,
江苏省,盐城市,地级及以上城市,,,,,,,,,,
江苏省,扬州市,地级及以上城市,,,,,,,,,,
江苏省,镇江市,地级及以上城市,,,,,,,,,,
江苏省,泰州市,地级及以上城市,,,,,,,,,,
江苏省,宿迁市,地级及以上城市,,,,,,,,,,
江苏省,江阴市,县级市,,,,,,,,,,
江苏省,宜兴市,县级市,,,,,,,,,,
江苏省,新沂市,县级市,,,,,,,,,,
江苏省,邳州市,县级市,,,,,,,,,,
江苏省,溧阳市,县级市,,,,,,,,,,
江苏省,常熟市,县级市,,,,,,,,,,
江苏省,张家港市,县级市,,,,,,,,,,
江苏省,昆山市,县级市,,,,,,,,,,
江苏省,太仓市,县级市,,,,,,,,,,
江苏省,启东市,县级市,,,,,,,,,,
江苏省,如皋市,县级市,,,,,,,,,,
江苏省,海安市,县级市,,,,,,,,,,
江苏省,东台市,县级市,,,,,,,,,,
江苏省,仪征市,县级市,,,,,,,,,,
江苏省,高邮市,县级市,,,,,,,,,,
江苏省,丹阳市,县级市,,,,,,,,,,
江苏省,扬中市,县级市,,,,,,,,,,
江苏省,句容市,县级市,,,,,,,,,,
江苏省,兴化市,县级市,,,,,,,,,,
江苏省,靖江市,县级市,,,,,,,,,,
江苏省,泰兴市,县级市,,,,,,,,,,
江西省,南昌市,地级及以上城市,,,,,,,,,,
江西省,景德镇市,地级及以上城市,,,,,,,,,,
江西省,萍乡市,地级及以上城市,,,,,,,,,,
江西省,九江市,地级及以上城市,,,,,,,,,,
江西省,新余市,地级及以上城市,,,,,,,,,,
江西省,鹰潭市,地级及以上城市,,,,,,,,,,
江西省,赣州市,地级及以上城市,,,,,,,,,,
江西省,抚州市,地级及以上城市,,,,,,,,,,
江西省,乐平市,县级市,,,,,,,,,,
江西省,瑞昌市,县级市,,,,,,,,,,
江西省,贵溪市,县级市,,,,,,,,,,
江西省,瑞金市,县级市,,,,,,,,,,
江西省,龙南市,县级市,,,,,,,,,,
江西省,共青城市,县级市,,,,,,,,,,
江西省,宜春市,地级及以上城市,,,,,,,,,,
江西省,丰城市,县级市,,,,,,,,,,
江西省,樟树市,县级市,,,,,,,,,,
江西省,高安市,县级市,,,,,,,,,,
江西省,上饶市,地级及以上城市,,,,,,,,,,
江西省,德兴市,县级市,,,,,,,,,,
江西省,吉安市,地级及以上城市,,,,,,,,,,
江西省,井冈山市,县级市,,,,,,,,,,
江西省,临川市,县级市,,,,,,,,,,
辽宁省,沈阳市,地级及以上城市,,,,,,,,,,
辽宁省,大连市,地级及以上城市,,,,,,,,,,
辽宁省,鞍山市,地级及以上城市,,,,,,,,,,
辽宁省,抚顺市,地级及以上城市,,,,,,,,,,
辽宁省,本溪市,地级及以上城市,,,,,,,,,,
辽宁省,丹东市,地级及以上城市,,,,,,,,,,
辽宁省,锦州市,地级及以上城市,,,,,,,,,,
辽宁省,营口市,地级及以上城市,,,,,,,,,,
辽宁省,阜新市,地级及以上城市,,,,,,,,,,
辽宁省,辽阳市,地级及以上城市,,,,,,,,,,
辽宁省,盘锦市,地级及以上城市,,,,,,,,,,
辽宁省,铁岭市,地级及以上城市,,,,,,,,,,
辽宁省,朝阳市,地级及以上城市,,,,,,,,,,
辽宁省,葫芦岛市,地级及以上城市,,,,,,,,,,
辽宁省,新民市,县级市,,,,,,,,,,
辽宁省,瓦房店市,县级市,,,,,,,,,,
辽宁省,庄河市,县级市,,,,,,,,,,
辽宁省,海城市,县级市,,,,,,,,,,
辽宁省,东港市,县级市,,,,,,,,,,
辽宁省,凤城市,县级市,,,,,,,,,,
辽宁省,凌海市,县级市,,,,,,,,,,
辽宁省,北镇市,县级市,,,,,,,,,,
辽宁省,盖州市,县级市,,,,,,,,,,
辽宁省,大石桥市,县级市,,,,,,,,,,
辽宁省,灯塔市,县级市,,,,,,,,,,
辽宁省,调兵山市,县级市,,,,,,,,,,
辽宁省,开原市,县级市,,,,,,,,,,
辽宁省,北票市,县级市,,,,,,,,,,
辽宁省,凌源市,县级市,,,,,,,,,,
辽宁省,兴城市,县级市,,,,,,,,,,
内蒙,呼和浩特市,地级及以上城市,,,,,,,,,,
内蒙,包头市,地级及以上城市,,,,,,,,,,
内蒙,乌海市,地级及以上城市,,,,,,,,,,
内蒙,赤峰市,地级及以上城市,,,,,,,,,,
内蒙,通辽市,地级及以上城市,,,,,,,,,,
内蒙,鄂尔多斯市,地级及以上城市,,,,,,,,,,
内蒙,呼伦贝尔市,地级及以上城市,,,,,,,,,,
内蒙,巴彦淖尔市,地级及以上城市,,,,,,,,,,
内蒙,乌兰察布市,地级及以上城市,,,,,,,,,,
内蒙,兴安盟,地级及以上城市,,,,,,,,,,
内蒙,锡林郭勒盟,地级及以上城市,,,,,,,,,,
内蒙,阿拉善盟,地级及以上城市,,,,,,,,,,
内蒙,霍林郭勒市,县级市,,,,,,,,,,
内蒙,阿尔山市,县级市,,,,,,,,,,
内蒙,满洲里市,县级市,,,,,,,,,,
内蒙,扎兰屯市,县级市,,,,,,,,,,
内蒙,牙克石市,县级市,,,,,,,,,,
内蒙,根河市,县级市,,,,,,,,,,
内蒙,额尔古纳市,县级市,,,,,,,,,,
内蒙,乌兰浩特市,县级市,,,,,,,,,,
内蒙,二连浩特市,县级市,,,,,,,,,,
内蒙,锡林浩特市,县级市,,,,,,,,,,
内蒙,丰镇市,县级市,,,,,,,,,,
宁夏,银川市,地级及以上城市,,,,,,,,,,
宁夏,石嘴山市,地级及以上城市,,,,,,,,,,
宁夏,吴忠市,地级及以上城市,,,,,,,,,,
宁夏,固原市,地级及以上城市,,,,,,,,,,
宁夏,中卫市,地级及以上城市,,,,,,,,,,
宁夏,青铜峡市,县级市,,,,,,,,,,
宁夏,灵武市,县级市,,,,,,,,,,
青海省,西宁市,地级及以上城市,,,,,,,,,,
青海省,海东市,地级及以上城市,,,,,,,,,,
青海省,海北藏族自治州,地级及以上城市,,,,,,,,,,
青海省,黄南藏族自治州,地级及以上城市,,,,,,,,,,
青海省,海南藏族自治州,地级及以上城市,,,,,,,,,,
青海省,玉树藏族自治州,地级及以上城市,,,,,,,,,,
青海省,玉树藏族自治州,地级及以上城市,,,,,,,,,,
青海省,果洛藏族自治州,地级及以上城市,,,,,,,,,,
青海省,格尔木市,县级市,,,,,,,,,,
青海省,茫崖市,县级市,,,,,,,,,,
青海省,玉树市,县级市,,,,,,,,,,
青海省,同仁市,县级市,,,,,,,,,,
青海省,德令哈市,县级市,,,,,,,,,,
山东省,济南市,地级及以上城市,,,,,,,,,,
山东省,青岛市,地级及以上城市,,,,,,,,,,
山东省,淄博市,地级及以上城市,,,,,,,,,,
山东省,枣庄市,地级及以上城市,,,,,,,,,,
山东省,东营市,地级及以上城市,,,,,,,,,,
山东省,烟台市,地级及以上城市,,,,,,,,,,
山东省,潍坊市,地级及以上城市,,,,,,,,,,
山东省,济宁市,地级及以上城市,,,,,,,,,,
山东省,泰安市,地级及以上城市,,,,,,,,,,
山东省,威海市,地级及以上城市,,,,,,,,,,
山东省,日照市,地级及以上城市,,,,,,,,,,
山东省,临沂市,地级及以上城市,,,,,,,,,,
山东省,德州市,地级及以上城市,,,,,,,,,,
山东省,聊城市,地级及以上城市,,,,,,,,,,
山东省,胶州市,县级市,,,,,,,,,,
山东省,平度市,县级市,,,,,,,,,,
山东省,莱西市,县级市,,,,,,,,,,
山东省,滕州市,县级市,,,,,,,,,,
山东省,龙口市,县级市,,,,,,,,,,
山东省,莱阳市,县级市,,,,,,,,,,
山东省,莱州市,县级市,,,,,,,,,,
山东省,招远市,县级市,,,,,,,,,,
山东省,栖霞市,县级市,,,,,,,,,,
山东省,海阳市,县级市,,,,,,,,,,
山东省,青州市,县级市,,,,,,,,,,
山东省,诸城市,县级市,,,,,,,,,,
山东省,寿光市,县级市,,,,,,,,,,
山东省,安丘市,县级市,,,,,,,,,,
山东省,高密市,县级市,,,,,,,,,,
山东省,昌邑市,县级市,,,,,,,,,,
山东省,曲阜市,县级市,,,,,,,,,,
山东省,邹城市,县级市,,,,,,,,,,
山东省,新泰市,县级市,,,,,,,,,,
山东省,肥城市,县级市,,,,,,,,,,
山东省,邹平市,县级市,,,,,,,,,,
山东省,荣成市,县级市,,,,,,,,,,
山东省,乳山市,县级市,,,,,,,,,,
山东省,乐陵市,县级市,,,,,,,,,,
山东省,禹城市,县级市,,,,,,,,,,
山东省,临清市,县级市,,,,,,,,,,
山东省,滨州市,地级及以上城市,,,,,,,,,,
山东省,菏泽市,地级及以上城市,,,,,,,,,,
山西省,太原市,地级及以上城市,,,,,,,,,,
山西省,大同市,地级及以上城市,,,,,,,,,,
山西省,阳泉市,地级及以上城市,,,,,,,,,,
